"Press Release Title","It’s dim up north – so Northerners need bigger brains to see properly","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Latitudinal variation in light levels drives human visual system size","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"","","Words to First Mention","","","-9.0","152.0","47.0","48.0","94.0","","","42.0","","","","","","","","","","","","","","","","","","","0.0","","","","1.0","","1.0"
"","","What terms were included in the count?","","","-9.0","Eye sockets, bigger eyes","Larger eyes, bigger eyes, eye sockets, visual system","Eye sockets","Eyes, eye sockets, eye, eyeball","","","Eyes, eye socket, eye","","","","","","","","","","","","","","","","","","","Eyeballs, eyes, eye sockets, ","","","","Eyes, eye","","Brains, brain"
"","","is there ambiguity?","","","-9.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","if yes describe","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","-9.0","1.0","1.0","1.0","1.0","","","-9.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Note differences here","","","-9.0","This is included as part of the first IV of the Journal Article / Press Release","This is included as part of the first IV of the Journal Article / Press Release","This is included as part of the first IV of the Journal Article / Press Release","This is included as part of the first IV of the Journal Article / Press Release","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Actual DV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Number of sentences actual DV is mentioned in","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
